heure,kind,quality,ouverture,haut,bas,cloture,n_releves,volume,valeur,profondeur_5pct
2026-09-03T21,43,0,11.1,11.5,11.1,11.5,2,0,0,713939
2026-09-03T21,44,0,1.26,1.26,1.26,1.26,2,0,0,10485886
2026-09-03T21,45,0,16.0,16.0,16.0,16.0,2,0,0,269127
2026-09-03T21,46,0,27.5,27.5,27.5,27.5,2,0,0,155030
2026-09-03T21,47,0,444.0,444.0,444.0,444.0,2,0,0,49542
2026-09-03T21,48,0,220.0,220.0,220.0,220.0,2,0,0,6215
2026-09-03T21,49,0,950.0,950.0,950.0,950.0,2,0,0,4950
2026-09-03T21,50,0,340.0,340.0,340.0,340.0,2,0,0,50111
2026-09-03T21,51,0,790.0,790.0,790.0,790.0,2,0,0,38792
2026-09-03T21,52,0,600.0,600.0,600.0,600.0,1,0,0,
2026-09-03T21,53,0,3390.0,3390.0,3390.0,3390.0,1,0,0,
2026-09-03T21,54,0,6400.0,6400.0,6400.0,6400.0,1,0,0,
2026-09-03T21,55,0,2250.0,2250.0,2250.0,2250.0,2,0,0,2474
2026-09-03T21,56,0,4370.0,4370.0,4370.0,4370.0,2,0,0,14414
2026-09-03T21,57,0,5575.0,5575.0,5575.0,5575.0,2,0,0,5159
2026-09-03T21,58,0,126.0,126.0,126.0,126.0,2,0,0,221855
2026-09-03T21,59,0,64.5,64.5,64.5,64.5,2,0,0,757382
2026-09-03T21,60,0,5.8,5.8,5.8,5.8,2,0,0,113778
2026-09-03T21,61,0,18.9,18.9,18.9,18.9,2,0,0,325766
2026-09-03T21,62,0,22.0,22.0,22.0,22.0,2,0,0,109360
2026-09-03T21,63,0,32.5,32.5,32.5,32.5,2,0,0,17216
2026-09-03T21,64,0,47.0,47.0,47.0,47.0,2,0,0,270142
2026-09-03T21,65,0,13.2,13.2,13.2,13.2,1,0,0,
2026-09-03T21,66,0,0.282,0.282,0.282,0.282,1,0,0,
2026-09-03T21,67,0,11.8,11.8,11.8,11.8,1,0,0,
2026-09-03T21,68,0,31.75,31.75,31.75,31.75,1,0,0,
2026-09-03T21,69,0,6325.0,6400.0,6325.0,6400.0,2,0,0,5199
2026-09-03T21,70,0,805.0,805.0,805.0,805.0,2,0,0,16821
2026-09-03T21,71,0,1530.0,1530.0,1520.0,1520.0,2,0,0,5801
2026-09-03T21,72,0,1.64,1.64,1.64,1.64,2,0,0,1053479
2026-09-03T21,73,0,26.0,26.0,26.0,26.0,2,0,0,52569
2026-09-03T21,74,0,19.8,20.0,19.8,20.0,2,0,0,82277
2026-09-03T21,75,0,6.1,6.1,6.1,6.1,2,0,0,1148333
2026-09-03T21,76,0,59.0,59.0,59.0,59.0,2,0,0,107652
2026-09-03T21,77,0,2640.0,2650.0,2640.0,2650.0,2,0,0,1338
2026-09-03T21,78,0,1840.0,1850.0,1840.0,1850.0,2,0,0,2104
2026-09-03T21,79,0,865.0,865.0,865.0,865.0,2,0,0,22087
2026-09-03T21,80,0,4450.0,4450.0,4450.0,4450.0,1,0,0,
2026-09-03T21,81,0,5175.0,5175.0,5175.0,5175.0,1,0,0,
2026-09-03T21,82,0,1500.0,1500.0,1500.0,1500.0,1,0,0,
2026-09-03T21,83,0,29.75,29.75,29.75,29.75,2,0,0,28520
2026-09-03T21,84,0,8975.0,8975.0,8975.0,8975.0,2,0,0,569
2026-09-03T21,85,0,7450.0,7450.0,7450.0,7450.0,2,0,0,101
2026-09-03T21,86,0,10000.0,10000.0,10000.0,10000.0,2,0,0,514
2026-09-03T21,87,0,484.0,484.0,484.0,484.0,2,0,0,2897
2026-09-03T21,88,0,11000.0,11000.0,11000.0,11000.0,2,0,0,881
2026-09-03T21,89,0,4420.0,4420.0,4420.0,4420.0,2,0,0,3323
2026-09-03T21,98,0,855.0,860.0,855.0,860.0,2,0,0,27935
2026-09-03T21,100,0,112.0,113.0,112.0,113.0,2,0,0,451779
2026-09-03T21,101,0,199.0,199.0,197.0,197.0,2,0,0,425237
2026-09-03T21,102,0,2.65,2.65,2.65,2.65,1,0,0,
2026-09-03T21,103,0,6.7,6.7,6.7,6.7,1,0,0,
2026-09-03T21,104,0,0.975,0.975,0.975,0.975,1,0,0,
2026-09-03T21,105,0,1.58,1.58,1.57,1.57,2,0,0,1904413
2026-09-03T21,106,0,4.1,4.1,4.1,4.1,2,0,0,21814
2026-09-03T21,107,0,21.25,21.5,21.25,21.5,2,0,0,709866
2026-09-03T21,108,0,10.1,10.1,10.0,10.0,2,0,0,1228555
2026-09-03T21,109,0,111.0,112.0,111.0,112.0,2,0,0,236183
2026-09-03T21,110,0,202.0,202.0,196.0,196.0,2,0,0,26805
2026-09-03T21,111,0,2600.0,2600.0,2580.0,2580.0,2,0,0,112342
2026-09-03T21,112,0,2200.0,2200.0,2200.0,2200.0,2,0,0,12039
2026-09-03T21,113,0,130.0,130.0,129.0,129.0,2,0,0,45107
2026-09-03T21,114,0,655.0,655.0,650.0,650.0,2,0,0,4079
2026-09-03T21,115,0,126.0,126.0,126.0,126.0,1,0,0,
