kind,prix,sens,passage
69,6450.0,baisse,2026-09-12T17:39:07Z
70,770.0,hausse,2026-09-12T17:39:07Z
71,1520.0,baisse,2026-09-12T17:39:07Z
72,1.54,baisse,2026-09-12T17:39:07Z
73,27.25,baisse,2026-09-12T17:39:07Z
74,19.9,baisse,2026-09-12T17:39:07Z
75,6.2,hausse,2026-09-12T17:39:07Z
76,57.5,hausse,2026-09-12T17:39:07Z
77,2500.0,baisse,2026-09-12T17:39:07Z
78,1890.0,baisse,2026-09-12T17:39:07Z
79,880.0,hausse,2026-09-12T17:39:07Z
80,5075.0,baisse,2026-09-12T17:39:07Z
81,5075.0,hausse,2026-09-12T17:39:07Z
82,1580.0,hausse,2026-09-12T17:39:07Z
83,32.0,baisse,2026-09-12T17:39:07Z
84,9075.0,hausse,2026-09-12T17:39:07Z
85,7675.0,hausse,2026-09-12T17:39:07Z
86,10100.0,baisse,2026-09-12T17:39:07Z
87,480.0,baisse,2026-09-12T17:39:07Z
88,11500.0,hausse,2026-09-12T17:39:07Z
89,4680.0,baisse,2026-09-12T17:39:07Z
98,880.0,baisse,2026-09-12T17:39:07Z
100,110.0,baisse,2026-09-12T17:39:07Z
101,194.0,baisse,2026-09-12T17:39:07Z
102,2.65,hausse,2026-09-12T17:39:07Z
103,6.5,baisse,2026-09-12T17:39:07Z
104,0.975,baisse,2026-09-12T17:39:07Z
105,1.58,baisse,2026-09-12T17:39:07Z
106,3.8,baisse,2026-09-12T17:39:07Z
107,19.8,baisse,2026-09-12T17:39:07Z
108,9.6,hausse,2026-09-12T17:39:07Z
109,108.0,hausse,2026-09-12T17:39:07Z
110,200.0,hausse,2026-09-12T17:39:07Z
111,2560.0,hausse,2026-09-12T17:39:07Z
112,2210.0,hausse,2026-09-12T17:39:07Z
113,118.0,baisse,2026-09-12T17:39:07Z
114,610.0,hausse,2026-09-12T17:39:07Z
115,125.0,hausse,2026-09-12T17:39:07Z
116,41.0,baisse,2026-09-12T17:39:07Z
117,7.2,hausse,2026-09-12T17:39:07Z
118,0.735,hausse,2026-09-12T17:39:07Z
119,32.25,baisse,2026-09-12T17:39:07Z
120,2.6,baisse,2026-09-12T17:39:07Z
121,150.0,hausse,2026-09-12T17:39:07Z
122,115.0,hausse,2026-09-12T17:39:07Z
123,280.0,baisse,2026-09-12T17:39:07Z
124,36.5,hausse,2026-09-12T17:39:07Z
125,25.25,baisse,2026-09-12T17:39:07Z
126,53.5,hausse,2026-09-12T17:39:07Z
127,436.0,baisse,2026-09-12T17:39:07Z
128,51.0,baisse,2026-09-12T17:39:07Z
129,2190.0,baisse,2026-09-12T17:39:07Z
130,2090.0,baisse,2026-09-12T17:39:07Z
131,2330.0,baisse,2026-09-12T17:39:07Z
132,2090.0,baisse,2026-09-12T17:39:07Z
133,13.8,baisse,2026-09-12T17:39:07Z
134,48.5,baisse,2026-09-12T17:39:07Z
135,18.2,baisse,2026-09-12T17:39:07Z
136,1.65,baisse,2026-09-12T17:39:07Z
137,123.0,hausse,2026-09-12T17:39:07Z
138,1180.0,baisse,2026-09-12T17:39:07Z
139,9.6,hausse,2026-09-12T17:39:07Z
140,248.0,hausse,2026-09-12T17:39:07Z
141,35.75,hausse,2026-09-12T17:39:07Z
