ts,kind,best,qty_best,n_orders,total_qty,qty_within_5pct,median_age_h
2026-09-03T19:05:49Z,57,5575.0,36,33,10665,6723,8.516
2026-09-03T19:05:49Z,58,126.0,20020,32,947654,232121,54.421
2026-09-03T19:05:49Z,59,65.0,2313,30,1558260,878534,16.663
2026-09-03T19:05:49Z,60,5.5,664,105,16360877,10533,1.913
2026-09-03T19:05:49Z,61,18.8,750,66,5654300,41846,2.47
2026-09-03T19:05:49Z,62,22.25,74641,50,1663652,272719,28.711
2026-09-03T19:05:49Z,63,32.5,773,54,1162345,17700,21.676
2026-09-03T19:05:49Z,66,0.278,53738,200,71841523,9612362,5.729
2026-09-03T19:05:49Z,68,32.0,318,92,2931740,472669,3.006
2026-09-03T19:05:49Z,69,6475.0,23,139,30103,9409,27.52
2026-09-03T19:05:49Z,70,805.0,238,78,33223,23806,25.165
2026-09-03T19:05:49Z,71,1540.0,16,72,66257,5907,13.565
2026-09-03T19:05:49Z,72,1.68,8490,138,26081463,1238016,3.043
2026-09-03T19:05:49Z,73,26.5,194090,190,3449068,428444,0.77
2026-09-03T19:05:49Z,74,19.9,168,70,1831101,60946,17.535
2026-09-03T19:05:49Z,75,6.3,76964,58,25966201,1615435,7.756
2026-09-03T19:05:49Z,76,57.0,1120,106,2112390,35712,3.997
2026-09-03T19:05:49Z,77,2680.0,868,62,46199,2058,4.054
2026-09-03T19:05:49Z,81,5175.0,150,59,15410,2708,32.145
2026-09-03T19:05:49Z,82,1500.0,701,70,44042,7382,14.337
2026-09-03T19:05:49Z,83,30.0,4720,73,1305090,44440,6.078
2026-09-03T19:05:49Z,84,8950.0,9,63,11737,600,32.089
2026-09-03T19:05:49Z,85,7425.0,5,47,6744,102,52.727
2026-09-03T19:05:49Z,86,10000.0,16,68,6521,309,8.274
2026-09-03T19:05:49Z,87,484.0,75,41,34689,2917,74.862
2026-09-03T19:05:49Z,88,11000.0,256,49,3237,969,8.172
2026-09-03T19:05:49Z,89,4410.0,5,63,17921,3525,66.885
2026-09-03T19:05:49Z,98,840.0,223,54,56520,21170,4.517
2026-09-03T19:05:49Z,103,6.9,166483,30,4577518,1896908,53.065
2026-09-03T19:05:49Z,104,0.97,2,37,8528883,2483957,27.593
2026-09-03T19:05:49Z,105,1.49,25998,59,12758277,240751,5.676
2026-09-03T19:05:49Z,106,4.15,19000,66,6676610,27639,7.012
2026-09-03T19:05:49Z,107,21.5,31608,55,2445479,748527,14.471
2026-09-03T19:05:49Z,108,9.7,68605,67,2743362,337684,2.155
2026-09-03T19:05:49Z,109,109.0,41,26,341250,243727,77.195
2026-09-03T19:05:49Z,110,200.0,18833,14,159633,59633,42.495
2026-09-03T19:05:49Z,111,2600.0,1033,153,105282,92890,31.947
2026-09-03T19:05:49Z,112,2190.0,1256,30,20324,19543,115.01
2026-09-03T19:05:49Z,113,127.0,130,36,642845,59314,4.631
2026-09-03T19:05:49Z,114,650.0,191,89,212192,8517,14.13
2026-09-03T19:05:49Z,118,0.77,378,155,56722245,88043,6.591
2026-09-03T19:05:49Z,119,31.5,307,140,2301152,9346,1.84
2026-09-03T19:05:49Z,120,2.55,7293,127,11464750,176071,10.21
2026-09-03T19:05:49Z,121,148.0,181,101,468119,3592,56.596
2026-09-03T19:05:49Z,122,126.0,9098,99,537678,43820,6.418
2026-09-03T19:05:49Z,123,298.0,39,51,188613,66425,51.721
2026-09-03T19:05:49Z,124,36.25,186,104,2251452,89718,8.248
2026-09-03T19:05:49Z,125,26.75,900,195,3558626,59362,3.584
2026-09-03T19:05:49Z,126,55.0,3007,91,1028416,116377,2.3
2026-09-03T19:05:49Z,127,478.0,816,24,21101,16794,25.361
2026-09-03T19:05:49Z,131,2390.0,4,42,9218,2069,14.779
2026-09-03T19:05:49Z,132,2200.0,2,71,20198,295,12.953
2026-09-03T19:05:49Z,133,17.9,129,100,2831589,383234,0.963
2026-09-03T19:05:49Z,134,49.25,38,107,749947,78756,3.635
2026-09-03T19:05:49Z,135,17.8,1990,140,3691031,301616,32.648
2026-09-03T19:05:49Z,136,1.58,27897,90,5181729,1320610,10.155
2026-09-03T19:05:49Z,137,126.0,16564,50,245712,35066,37.255
2026-09-03T19:05:49Z,138,1260.0,4,59,18070,415,11.244
2026-09-03T19:05:49Z,139,10.1,564580,82,4159158,752089,5.832
2026-09-03T19:05:49Z,140,260.0,99,42,43743,32440,50.464
2026-09-03T19:05:49Z,144,17.2,1000,19,202764,28002,43.194
2026-09-03T19:05:49Z,145,135.0,3337,42,1028773,656599,68.557
2026-09-03T19:05:49Z,146,6.5,17667,146,8574039,22130,2.49
2026-09-03T19:05:49Z,147,40.0,47625,31,1138612,480970,36.577
2026-09-03T19:05:49Z,148,33.25,6764,36,709775,52586,40.909
2026-09-03T19:05:49Z,149,725.0,5,66,50229,65,11.22
2026-09-03T19:05:49Z,150,390.0,61,162,72580,407,13.817
2026-09-03T19:05:49Z,151,232.0,110,33,33463,1252,52.85
2026-09-03T19:05:49Z,152,234.0,98,26,4963,228,135.111
2026-09-03T19:05:49Z,153,78.0,9,10,26362,1945,3.982
2026-09-03T21:55:19Z,1,0.258,211159,200,703578238,703578238,1.815
2026-09-03T21:55:19Z,2,0.365,49400,200,119092756,15884110,6.778
2026-09-03T21:55:19Z,3,2.3,335,200,3964626,67714,1.465
2026-09-03T21:55:19Z,4,2.5,15825,149,12613753,937828,15.123
2026-09-03T21:55:19Z,5,2.85,1430,100,4885297,54565,1.599
2026-09-03T21:55:19Z,6,0.695,10178,170,73645071,9299701,5.667
2026-09-03T21:55:19Z,7,40.0,3682,98,756079,198697,6.494
2026-09-03T21:55:19Z,8,10.6,494,68,1994569,198716,3.255
2026-09-03T21:55:19Z,9,1.14,11263,167,13742000,46174,0.925
2026-09-03T21:55:19Z,11,41.25,576,46,1045292,470117,5.702
2026-09-03T21:55:19Z,12,41.0,6825,73,2383361,1356642,13.233
2026-09-03T21:55:19Z,13,0.367,1491227,150,454419038,101775528,19.212
2026-09-03T21:55:19Z,14,11.2,25000,62,7356787,3094432,1.973
2026-09-03T21:55:19Z,15,9.9,366,97,8262287,148827,0.628
2026-09-03T21:55:19Z,16,8.7,3219,30,3640604,428956,3.062
2026-09-03T21:55:19Z,17,14.5,4395,87,7098741,3116003,19.188
2026-09-03T21:55:19Z,18,20.0,769,77,3122247,16364,4.967
2026-09-03T21:55:19Z,19,11.0,1845,82,7313638,206032,3.961
2026-09-03T21:55:19Z,20,109.0,119,73,832677,2823,3.74
2026-09-03T21:55:19Z,24,625.0,831,32,64978,38662,9.582
2026-09-03T21:55:19Z,25,725.0,26,50,104499,2020,8.395
2026-09-03T21:55:19Z,26,1210.0,24,25,37951,8484,58.809
2026-09-03T21:55:19Z,27,570.0,178,21,31297,6018,9.075
2026-09-03T21:55:19Z,28,950.0,25,16,25793,1771,14.378
2026-09-03T21:55:19Z,29,98.0,2000,73,921242,206108,27.76
2026-09-03T21:55:19Z,30,155.0,3815,49,436322,143437,9.323
2026-09-03T21:55:19Z,31,200.0,1268,24,569464,410412,32.322
2026-09-03T21:55:19Z,32,218.0,40466,59,504654,157496,17.819
2026-09-03T21:55:19Z,33,108.0,2000,33,367572,84574,81.89
2026-09-03T21:55:19Z,42,5.2,338,66,8862216,964303,3.987
2026-09-03T21:55:19Z,43,11.5,20007,96,5067857,713939,5.077
2026-09-03T21:55:19Z,44,1.26,536518,62,32917998,10485886,5.96
2026-09-03T21:55:19Z,45,16.0,9245,38,1323299,269127,0.819
2026-09-03T21:55:19Z,46,27.5,111,123,1717126,155030,3.312
2026-09-03T21:55:19Z,47,444.0,215,47,155052,49542,9.242
2026-09-03T21:55:19Z,48,220.0,140,32,233338,6215,68.595
2026-09-03T21:55:19Z,49,950.0,4,34,57426,4950,56.117
2026-09-03T21:55:19Z,50,340.0,6046,35,142107,50111,16.337
2026-09-03T21:55:19Z,51,790.0,1570,70,79240,38792,21.786
2026-09-03T21:55:19Z,55,2250.0,200,10,3244,2474,15.814
2026-09-03T21:55:19Z,56,4370.0,12,45,20190,14414,23.42
2026-09-03T21:55:19Z,57,5575.0,18,32,9101,5159,13.759
2026-09-03T21:55:19Z,58,126.0,9754,32,937388,221855,57.246
2026-09-03T21:55:19Z,59,64.5,530,35,1628528,757382,4.122
2026-09-03T21:55:19Z,60,5.8,24896,108,16507787,113778,2.546
2026-09-03T21:55:19Z,61,18.9,1888,64,6267017,325766,3.784
2026-09-03T21:55:19Z,62,22.0,14632,48,1509639,109360,30.834
2026-09-03T21:55:19Z,63,32.5,289,52,1062979,17216,33.438
2026-09-03T21:55:19Z,64,47.0,2040,51,522688,270142,7.846
2026-09-03T21:55:19Z,69,6400.0,13,147,29067,5199,2.443
2026-09-03T21:55:19Z,70,805.0,36,64,26238,16821,42.999
2026-09-03T21:55:19Z,71,1520.0,18,84,70337,5801,0.811
2026-09-03T21:55:19Z,72,1.64,10680,145,26365375,1053479,1.554
2026-09-03T21:55:19Z,73,26.0,4351,200,3313009,52569,2.612
2026-09-03T21:55:19Z,74,20.0,4318,71,1797743,82277,17.087
2026-09-03T21:55:19Z,75,6.1,52617,62,24314809,1148333,1.245
2026-09-03T21:55:19Z,76,59.0,3112,93,1927152,107652,7.094
2026-09-03T21:55:19Z,77,2650.0,71,66,46142,1338,5.582
2026-09-03T21:55:19Z,78,1850.0,56,130,33029,2104,27.921
2026-09-03T21:55:19Z,79,865.0,32,79,152626,22087,3.397
2026-09-03T21:55:19Z,83,29.75,16,82,1263757,28520,4.952
2026-09-03T21:55:19Z,84,8975.0,77,57,11873,569,56.923
2026-09-03T21:55:19Z,85,7450.0,84,46,6653,101,44.334
2026-09-03T21:55:19Z,86,10000.0,16,66,6526,514,12.309
2026-09-03T21:55:19Z,87,484.0,55,40,34209,2897,77.686
2026-09-03T21:55:19Z,88,11000.0,162,47,3011,881,10.997
2026-09-03T21:55:19Z,89,4420.0,308,61,15251,3323,72.751
2026-09-03T21:55:19Z,98,860.0,344,50,57047,27935,7.989
2026-09-03T21:55:19Z,100,113.0,1739,18,709360,451779,56.175
2026-09-03T21:55:19Z,101,197.0,3676,90,515797,425237,24.326
2026-09-03T21:55:19Z,105,1.57,799,50,12296354,1904413,22.473
2026-09-03T21:55:19Z,106,4.1,9271,76,6666409,21814,2.772
2026-09-03T21:55:19Z,107,21.5,732,54,2397852,709866,17.297
2026-09-03T21:55:19Z,108,10.0,5717,51,2173181,1228555,17.409
2026-09-03T21:55:19Z,109,112.0,127649,19,322526,236183,89.384
2026-09-03T21:55:19Z,110,196.0,67,13,147005,26805,45.318
2026-09-03T21:55:19Z,111,2580.0,865,165,124741,112342,1.59
2026-09-03T21:55:19Z,112,2200.0,182,26,12340,12039,120.201
2026-09-03T21:55:19Z,113,129.0,710,34,620369,45107,8.325
2026-09-03T21:55:19Z,114,650.0,5,99,222972,4079,17.925
2026-09-03T21:55:19Z,116,39.5,2,160,709198,111560,8.245
2026-09-03T21:55:19Z,119,30.75,225,155,2591303,10146,2.535
2026-09-03T21:55:19Z,120,2.5,27472,126,11197676,133866,8.305
2026-09-03T21:55:19Z,121,140.0,36,110,477487,108,24.996
2026-09-03T21:55:19Z,122,126.0,22,99,510458,16654,6.854
2026-09-03T21:55:19Z,123,292.0,2523,56,188196,31553,31.749
2026-09-03T21:55:19Z,124,36.0,777,103,2396298,71816,11.044
2026-09-03T21:55:19Z,125,25.25,951,200,2488887,5189,1.106
2026-09-03T21:55:19Z,126,55.5,28,82,914507,212346,3.674
2026-09-03T21:55:19Z,127,478.0,348,22,20778,16326,29.966
2026-09-03T21:55:19Z,128,55.0,267,54,341633,95944,10.941
2026-09-03T21:55:19Z,132,2180.0,16,76,20334,210,12.836
2026-09-03T21:55:19Z,133,17.3,6999,109,2804572,29722,0.885
2026-09-03T21:55:19Z,134,50.0,22658,100,758116,99897,10.497
2026-09-03T21:55:19Z,135,17.8,2251,148,3365796,346368,14.85
2026-09-03T21:55:19Z,136,1.52,1000,97,5172716,71198,7.893
2026-09-03T21:55:19Z,137,124.0,465,54,235789,21820,24.458
2026-09-03T21:55:19Z,138,1270.0,119,56,18345,271,16.503
2026-09-03T21:55:19Z,139,10.1,510183,69,3867027,630862,26.372
2026-09-03T21:55:19Z,140,258.0,331,45,45683,26044,29.627
2026-09-03T21:55:19Z,141,36.5,88,99,1227438,37954,58.873
2026-09-03T21:55:19Z,145,135.0,350,42,1046030,673856,57.999
2026-09-03T21:55:19Z,146,6.9,62,141,9080033,375019,5.535
2026-09-03T21:55:19Z,147,39.5,1335,34,1168198,395756,36.818
2026-09-03T21:55:19Z,148,33.25,6764,36,771045,68463,43.734
2026-09-03T21:55:19Z,149,725.0,5,66,48935,115,13.755
2026-09-03T21:55:19Z,150,384.0,29,163,72367,459,11.608
2026-09-03T21:55:19Z,151,232.0,109,34,34298,1251,52.246
2026-09-03T21:55:19Z,152,234.0,97,26,4962,227,137.936
2026-09-03T21:55:19Z,153,69.0,3497,4,4320,3497,5.014
2026-09-03T21:55:19Z,154,76.5,23,10,8666,3391,5.832
